keys,en,fr
StartGame,Start to work,Commencer à travailler
MainMenu,Main menu,Menu principal
Back,Back,Retour
Settings,Settings,Paramètres
Master,Master,Principal
Music,Music,Musique
Effects,Effects,Effets
QuitGame,Quit,Quitter
FarmLost,You lost the farm.,Vous avez perdu la ferme.
GoodA,Good,Bonne
BadA,Bad,Pourrie
EasyDifficulty,Easy,Facile
NormalDifficulty,Normal,Normal
HardDifficulty,Hard,Difficile
HardWinButton,Honor certificate,Certificat d'honneur
Congratulations,Congratulations part'ner !,Félicitations part'naire !